% Model,STEAM_T1_5B.mph
% Version,COMSOL 5.3.1.180
% Date,"Apr 25 2018, 11:48"
% Table,Table 8 - kCu_avg_HT0_5Aa (kCu_avg_HT0_5Aa)
% Time (s),kCu_avg_HT0_5Aa (W/(m*K))
0.00103,3528.127580216967
0.0010400000000000001,3519.828803380951
0.0010500000000000002,3511.555587806411
0.0010600000000000002,3503.308496943301
0.00107,3495.088056014616
0.00108,3486.894751648544
0.00109,3478.729033545434
0.0011,3470.591317144153
0.00111,3462.4819860341963
0.0011200000000000001,3454.401393800258
0.0011300000000000001,3446.3498655477783
0.0011400000000000002,3438.3276994335642
0.0011500000000000002,3430.3351679667244
0.00116,3422.372519416083
0.00117,3414.439979225545
0.00118,3406.5377512841173
0.00119,3398.666019051473
0.0012000000000000001,3390.8249466245934
0.0012100000000000001,3383.014679786288
0.0012200000000000002,3375.2353470141766
0.0012300000000000002,3367.4870604231246
0.00124,3359.769916643842
0.00125,3352.083997655126
0.00126,3344.4293715790736
0.00127,3336.8060934371224
0.00128,3329.214205864124
0.0012900000000000001,3321.653739782481
0.0013000000000000002,3314.124715041246
0.0013100000000000002,3306.6271410232257
0.0013200000000000002,3299.1610172210385
0.00133,3291.726333783001
0.00134,3284.3230720303823
0.00135,3276.951204948179
0.00136,3269.6106976508563
0.0013700000000000001,3262.3015078244516
0.0013800000000000002,3255.023586145977
0.0013900000000000002,3247.77687668152
0.0014000000000000002,3240.561317264023
0.00141,3233.376839852101
0.00142,3226.223370870676
0.00143,3219.1008315344557
0.00144,3212.009138155133
0.0014500000000000001,3204.948202433178
0.0014600000000000001,3197.9179317349235
0.0014700000000000002,3190.9182293559898
0.0014800000000000002,3183.9489947713055
0.0014900000000000002,3177.010123872828
0.0015,3170.101509195383
0.00151,3163.223040131198
0.00152,3156.3746031338906
0.0015300000000000001,3149.5560819122134
0.0015400000000000001,3142.767357614254
0.0015500000000000002,3136.008309002494
0.0015600000000000002,3129.2788126201654
0.0015700000000000002,3122.5787429493485
0.00158,3115.907972561335
0.00159,3109.2663722593993
0.0016,3102.65381121461
0.00161,3096.0701570948795
0.0016200000000000001,3089.5152761875465
0.0016300000000000002,3082.989033515999
0.0016400000000000002,3076.4912929504176
0.0016500000000000002,3070.021917313028
0.0016600000000000002,3063.5807684781407
0.00167,3057.1677074671634
0.00168,3050.78259453892
0.00169,3044.4252892754394
0.0017000000000000001,3038.095650663381
0.0017100000000000001,3031.793537171482
0.0017200000000000002,3025.518806824029
0.0017300000000000002,3019.271317270599
0.0017400000000000002,3013.0509258523516
0.00175,3006.857489664899
0.00176,3000.690865617969
0.00177,2994.550910491995
0.0017800000000000001,2988.4374809918877
0.0017900000000000001,2982.3504337979043
0.0018000000000000002,2976.289625613989
0.0018100000000000002,2970.2549132135064
0.0018200000000000002,2964.246153482628
0.0018300000000000002,2958.263203461447
0.00184,2952.305920382823
0.00185,2946.3741617092387
0.00186,2940.4677851676565
0.0018700000000000001,2934.5866487824596
0.0018800000000000002,2928.730610906564
0.0018900000000000002,2922.899530250939
0.0019000000000000002,2917.093265912308
0.0019100000000000002,2911.311677399453
0.0019200000000000003,2905.5546246579315
0.00193,2899.8219680933994
0.00194,2894.1135685935833
0.0019500000000000001,2888.429287548974
0.0019600000000000004,2882.768986872252
0.00197,2877.132529016584
0.00198,2871.5197769927495
0.00199,2865.9305943852355
0.002,2860.3648453673454
0.00201,2854.8223947151982
0.00202,2849.303107820985
0.00203,2843.8068507052126
0.00204,2838.333490028166
0.00205,2832.8828931005046
0.00206,2827.4549278932072
0.0020700000000000002,2822.0494630466465
0.0020800000000000003,2816.6663678790724
0.0020900000000000003,2811.305512394396
0.0021000000000000003,2805.9667672893193
0.0021100000000000003,2800.650003959912
0.0021200000000000004,2795.355094507568
0.0021300000000000004,2790.0819117444344
0.00214,2784.8303291983193
0.00215,2779.60022111711
0.00216,2774.3914624727036
0.00217,2769.2039289644677
0.00218,2764.0374970223343
0.00219,2758.8920438094333
0.0022,2753.7674472243434
0.00221,2748.6635859029925
0.00222,2743.580339220167
0.00223,2738.5175872907635
0.0022400000000000002,2733.4752109706287
0.0022500000000000003,2728.453091857139
0.0022600000000000003,2723.4511122895374
0.0022700000000000003,2718.469155348904
0.0022800000000000003,2713.5071048579343
0.0022900000000000004,2708.564845380427
0.0023000000000000004,2703.6422622206373
0.00231,2698.739241422217
0.00232,2693.855669767166
0.00233,2688.9914347744148
0.00234,2684.1464246982796
0.00235,2679.32052852678
0.00236,2674.5136359796825
0.00237,2669.7256375065294
0.00238,2664.956424284323
0.00239,2660.205927631343
0.0024000000000000002,2655.474249995091
0.0024100000000000002,2650.7614886989754
0.0024200000000000003,2646.067569637591
0.0024300000000000003,2641.3923473555965
0.0024400000000000003,2636.73568222984
0.0024500000000000004,2632.097457344187
0.0024600000000000004,2627.4775656355264
0.0024700000000000004,2622.8758984603955
0.00248,2618.2923433298
0.00249,2613.7267879657634
0.0025,2609.179121270267
0.00251,2604.6492333606143
0.00252,2600.1370154087467
0.00253,2595.642359527113
0.00254,2591.16515857654
0.00255,2586.7053064549546
0.00256,2582.2626980032587
0.0025700000000000002,2577.8372288970254
0.0025800000000000003,2573.4287956242224
0.0025900000000000003,2569.037295506133
0.0026000000000000003,2564.6626267111587
0.0026100000000000003,2560.3046882503404
0.0026200000000000004,2555.9633799645176
0.0026300000000000004,2551.6386025145143
0.0026400000000000004,2547.330257369183
0.00265,2543.0382467986005
0.00266,2538.762473869105
0.00267,2534.502842436174
0.00268,2530.259257135656
0.00269,2526.031623375165
0.0027,2521.819847326774
0.00271,2517.6238359200524
0.00272,2513.4434968347327
0.0027300000000000002,2509.2787384932717
0.0027400000000000002,2505.1294700533413
0.0027500000000000003,2500.9956014007485
0.0027600000000000003,2496.877043142388
0.0027700000000000003,2492.773706599226
0.0027800000000000004,2488.68550379925
0.0027900000000000004,2484.612347470582
0.0028000000000000004,2480.5541510346293
0.0028100000000000004,2476.5108285993174
0.00282,2472.482294952441
0.00283,2468.4684655549577
0.00284,2464.4692565345035
0.00285,2460.4845846788344
0.00286,2456.51436742942
0.00287,2452.558522875118
0.00288,2448.616969745811
0.00289,2444.6896274062387
0.0029000000000000002,2440.776415849819
0.0029100000000000003,2436.8772556925305
0.0029200000000000003,2432.992068166895
0.0029300000000000003,2429.12077511602
0.0029400000000000003,2425.2632989876606
0.0029500000000000004,2421.4195628284015
0.0029600000000000004,2417.589490277858
0.0029700000000000004,2413.773005562988
0.0029800000000000004,2409.970033492369
0.00299,2406.180499450689
0.003,2402.4043293931427
0.00301,2398.6414498399554
0.00302,2394.8917878709976
0.00303,2391.155271120414
0.00304,2387.4318277712937
0.00305,2383.721386550448
0.0030600000000000002,2380.023876723233
0.0030700000000000002,2376.3392280883795
0.0030800000000000003,2372.6673709729416
0.0030900000000000003,2369.0082362272706
0.0031000000000000003,2365.3617552200662
0.0031100000000000004,2361.727859833394
0.0031200000000000004,2358.106482457914
0.0031300000000000004,2354.4975559880213
0.0031400000000000004,2350.9010138170875
0.0031500000000000005,2347.316789832786
0.00316,2343.74481841241
0.00317,2340.18503441829
0.00318,2336.637373193234
0.00319,2333.1017705560203
0.0032,2329.578162796945
0.00321,2326.066486673447
0.00322,2322.566679405683
0.0032300000000000002,2319.0786786722883
0.0032400000000000003,2315.6024226060767
0.0032500000000000003,2312.1378497898195
0.0032600000000000003,2308.6848992521027
0.0032700000000000003,2305.243510463174
0.0032800000000000004,2301.81362333087
0.0032900000000000004,2298.395178196585
0.0033000000000000004,2294.988115831271
0.0033100000000000004,2291.592377431498
0.0033200000000000005,2288.207904615522
0.00333,2284.8346394194627
0.00334,2281.4725242934464
0.00335,2278.1215020978234
0.00336,2274.7815160994487
0.00337,2271.452509967981
0.00338,2268.134427772188
0.0033900000000000002,2264.8272139763612
0.0034000000000000002,2261.5308134367365
0.0034100000000000003,2258.245171397925
0.0034200000000000003,2254.97023348942
0.0034300000000000003,2251.7059457221208
0.0034400000000000003,2248.452254484924
0.0034500000000000004,2245.2091065413215
0.0034600000000000004,2241.9764490260172
