Time (s),T_avg_HT0_5Aa (K)
0.00142,26.71055792
0.00143,26.76616979
0.00144,26.82149605
0.00145,26.87654028
0.00146,26.93130601
0.00147,26.98579667
0.00148,27.04001566
0.00149,27.09396627
0.0015,27.14765178
0.00151,27.20107536
0.00152,27.25424016
0.00153,27.30714925
0.00154,27.35980565
0.00155,27.41221232
0.00156,27.46437218
0.00157,27.51628809
0.00158,27.56796284
0.00159,27.6193992
0.0016,27.67059988
0.00161,27.72156754
0.00162,27.77230479
0.00163,27.82281421
0.00164,27.87309831
0.00165,27.92315958
0.00166,27.97300046
0.00167,28.02262335
0.00168,28.07203061
0.00169,28.12122455
0.0017,28.17020745
0.00171,28.21898157
0.00172,28.26754909
0.00173,28.3159122
0.00174,28.36407302
0.00175,28.41203366
0.00176,28.45979619
0.00177,28.50736262
0.00178,28.55473498
0.00179,28.60191522
0.0018,28.64890528
0.00181,28.69570707
0.00182,28.74232248
0.00183,28.78875334
0.00184,28.83500148
0.00185,28.8810687
0.00186,28.92695675
0.00187,28.97266738
0.00188,29.0182023
0.00189,29.0635632
0.0019,29.10875174
0.00191,29.15376956
0.00192,29.19861826
0.00193,29.24329945
0.00194,29.28781469
0.00195,29.33216552
0.00196,29.37635346
0.00197,29.42038001
0.00198,29.46424666
0.00199,29.50795485
0.002,29.55150603
0.00201,29.59490161
0.00202,29.63814299
0.00203,29.68123155
0.00204,29.72416864
0.00205,29.76695561
0.00206,29.80959377
0.00207,29.85208443
0.00208,29.89442887
0.00209,29.93662836
0.0021,29.97868416
0.00211,30.02059749
0.00212,30.06236957
0.00213,30.10400162
0.00214,30.1454948
0.00215,30.1868503
0.00216,30.22806926
0.00217,30.26915282
0.00218,30.31010212
0.00219,30.35091826
0.0022,30.39160234
0.00221,30.43215543
0.00222,30.47257862
0.00223,30.51287295
0.00224,30.55303946
0.00225,30.59307918
0.00226,30.63299313
0.00227,30.67278232
0.00228,30.71244772
0.00229,30.75199033
0.0023,30.7914111
0.00231,30.830711
0.00232,30.86989096
0.00233,30.90895191
0.00234,30.94789478
0.00235,30.98672047
0.00236,31.02542988
0.00237,31.06402391
0.00238,31.10250342
0.00239,31.14086897
0.0024,31.17911971
0.00241,31.21725484
0.00242,31.25527491
0.00243,31.29318108
0.00244,31.33097443
0.00245,31.36865587
0.00246,31.40622622
0.00247,31.4436863
0.00248,31.48103698
0.00249,31.51827911
0.0025,31.55541353
0.00251,31.59244107
0.00252,31.62936255
0.00253,31.66617878
0.00254,31.70289054
0.00255,31.73949864
0.00256,31.77600385
0.00257,31.81240693
0.00258,31.84870866
0.00259,31.88490977
0.0026,31.92101101
