% Model,STEAM_T1_5B.mph
% Version,COMSOL 5.3.1.180
% Date,"Apr 25 2018, 11:47"
% Table,Table 6 - CvG10_avg_HT0_5Aa (CvG10_avg_HT0_5Aa)
% Time (s),CvG10_avg_HT0_5Aa (J/(m^3*K))
0.00118,123779.0078728277
0.00119,124193.50351405324
0.0012000000000000001,124605.42994605424
0.0012100000000000001,125014.82496289347
0.0012200000000000002,125421.72550821246
0.0012300000000000002,125826.16770034036
0.00124,126228.18685721754
0.00125,126627.81752034977
0.00126,127025.0934775328
0.00127,127420.04778457424
0.00128,127812.71278639558
0.0012900000000000001,128203.120137473
0.0013000000000000002,128591.30082155942
0.0013100000000000002,128977.28517064083
0.0013200000000000002,129361.10288319484
0.00133,129742.78304185129
0.00134,130122.35413044212
0.00135,130499.84405049318
0.00136,130875.28013710296
0.0013700000000000001,131248.68917431432
0.0013800000000000002,131620.09740995133
0.0013900000000000002,131989.5305699685
0.0014000000000000002,132357.01387231742
0.00141,132722.5720403761
0.00142,133086.2293158933
0.00143,133448.00947156246
0.00144,133807.93582314262
0.0014500000000000001,134166.03124122205
0.0014600000000000001,134522.318162591
0.0014700000000000002,134876.81860125056
0.0014800000000000002,135229.55415907456
0.0014900000000000002,135580.54603615723
0.0015,135929.81504079423
0.00151,136277.38159919874
0.00152,136623.26576489682
0.0015300000000000001,136967.4872278294
0.0015400000000000001,137310.06532319752
0.0015500000000000002,137651.0190400136
0.0015600000000000002,137990.3670294204
0.0015700000000000002,138328.1276127429
0.00158,138664.31878931215
0.00159,138998.95824405167
0.0016,139332.06335484204
0.00161,139663.65119967016
0.0016200000000000001,139993.73856358073
0.0016300000000000002,140322.3419454013
0.0016400000000000002,140649.477564307
0.0016500000000000002,140975.16136617181
0.0016600000000000002,141299.4090297526
0.00167,141622.23597269817
0.00168,141943.65735738009
0.00169,142263.68809657666
0.0017000000000000001,142582.34285898317
0.0017100000000000001,142899.63607457664
0.0017200000000000002,143215.5819398448
0.0017300000000000002,143530.19442284288
0.0017400000000000002,143843.48726814735
0.00175,144155.47400165437
0.00176,144466.16793524972
0.00177,144775.5821713688
0.0017800000000000001,145083.72960742234
0.0017900000000000001,145390.62294010553
0.0018000000000000002,145696.27466960004
0.0018100000000000002,146000.6971036602
0.0018200000000000002,146303.90236160436
0.0018300000000000002,146605.90237818408
0.00184,146906.70890737005
0.00185,147206.3335260362
0.00186,147504.78763754372
0.0018700000000000001,147802.08247524317
0.0018800000000000002,148098.22910588433
0.0018900000000000002,148393.23843294053
0.0019000000000000002,148687.12119985025
0.0019100000000000002,148979.88799317917
0.0019200000000000003,149271.5492457011
0.00193,149562.11523940228
0.00194,149851.59610842346
0.0019500000000000001,150140.00184191784
0.0019600000000000004,150427.34228683804
0.00197,150713.6271506747
