% Model,STEAM_T1_5B.mph
% Version,COMSOL 5.3.1.180
% Date,"Apr 25 2018, 11:37"
% Table,Table 3 - Cv_avg_HT0_5Aa (Cv_avg_HT0_5Aa)
% Time (s),Cv_avg_HT0_5Aa (J/(m^3*K))
0.405,2583305.3246346065
0.41000000000000003,2589287.8808081714
0.41500000000000004,2595187.684722152
0.42000000000000004,2601005.6932411557
0.425,2606742.705165878
0.43,2612399.365306917
0.435,2617976.168349493
0.44,2623473.4625186827
0.445,2628891.453055631
0.45,2634230.2055115295
0.455,2639489.648868674
0.46,2644669.5784942494
0.465,2649769.658932244
0.47000000000000003,2654789.4265407617
0.47500000000000003,2659728.291976992
0.48000000000000004,2664585.5425355434
0.485,2669360.3443428036
0.49,2674051.744410631
0.495,2678658.672551447
0.5,2683179.943157141
0.505,2687614.2568431683
0.51,2691960.201958711
0.515,2696216.2559640305
0.52,2700380.7866753736
0.525,2704452.053376604
0.53,2708428.207798397
0.535,2712307.2949632034
0.54,2716087.253895532
0.545,2719765.9181953487
0.55,2723341.0164739504
0.555,2726810.1726486376
0.56,2733575.2158635403
0.5650000000000001,2737490.512348882
0.5700000000000001,2741365.0645759315
0.5750000000000001,2745200.4564064923
0.5800000000000001,2748997.8466450535
0.585,2752758.2225992875
0.59,2756482.5287588276
0.595,2760171.703105839
0.6,2763826.6772853644
0.605,2767448.370427915
0.61,2771037.6854230855
0.615,2774595.5078760716
0.62,2778122.706533828
0.625,2781620.133328803
0.63,2785088.624014161
0.635,2788528.9987312853
0.64,2791942.062364797
0.645,2795328.6048034057
0.65,2798689.401209479
0.655,2802025.2123159696
0.66,2805336.784728005
0.665,2808624.851209389
0.67,2811890.1309628286
0.675,2815133.329892701
0.68,2818355.1408576486
0.685,2821556.2439196017
0.6900000000000001,2824737.306587849
0.6950000000000001,2827898.984056384
0.7000000000000001,2831041.9194316273
0.7050000000000001,2834166.7439536587
0.71,2837274.077211896
0.715,2840364.527354686
0.72,2843438.6912936196
0.725,2846497.15490157
0.73,2849540.493205181
0.735,2852569.270572858
0.74,2855584.0408966974
0.745,2858585.347771109
0.75,2861573.7246652497
0.755,2864549.6950920653
0.76,2867513.7727726935
0.765,2870466.4617962423
0.77,2873408.25677645
0.775,2876339.643003936
0.78,2879261.096594795
0.785,2882173.0846357793
0.79,2885076.0653257156
0.795,2887970.488114119
0.8,2890856.79383607
0.805,2893735.414844269
0.81,2896606.7751381015
0.8150000000000001,2899471.2904896596
0.8200000000000001,2902329.368567364
0.8250000000000001,2905391.3209782196
0.8300000000000001,2907903.899397492
0.8350000000000001,2910403.713324358
0.84,2912891.071895968
0.845,2915366.1665791753
0.85,2917829.1884813053
0.855,2920280.332188144
0.86,2922719.7917610514
0.865,2925147.7574906508
0.87,2927564.414584803
0.875,2929969.942947988
0.88,2932364.517345972
0.885,2934748.30744986
0.89,2937121.477973039
0.895,2939484.18876328
0.9,2941836.594843092
0.905,2944178.8464360186
0.91,2946511.0890011736
0.915,2948833.463275878
0.92,2951146.1053197524
0.925,2953449.146555732
0.93,2955742.713810449
0.935,2958026.929352323
0.9400000000000001,2960301.910928709
0.9450000000000001,2962567.7718032696
0.9500000000000001,2964824.620793144
0.9550000000000001,2967072.562305215
0.9600000000000001,2969311.696371504
0.965,2971542.1186838136
0.97,2973763.9206279744
0.975,2975977.189317569
0.98,2978182.007627081
0.985,2980378.454224414
0.99,2982566.603602824
0.995,2984746.5261124386
1,2986918.28799121
