% Model,STEAM_T1_5B.mph
% Version,COMSOL 5.3.1.180
% Date,"Apr 25 2018, 11:37"
% Table,Table 4 - CvCu_avg_HT0_5Aa (CvCu_avg_HT0_5Aa)
% Time (s),CvCu_avg_HT0_5Aa (J/(m^3*K))
7.9E-4,99891.28218143374
8.0E-4,101130.24431760485
8.100000000000001E-4,102366.80497935563
8.200000000000001E-4,103600.96933233463
8.300000000000001E-4,104832.74312461958
8.4E-4,106062.13263798389
8.500000000000001E-4,107289.14464271288
8.600000000000001E-4,108513.78635581867
8.700000000000001E-4,109736.06540238173
8.8E-4,110955.98977976046
8.900000000000001E-4,112173.56782442986
9.000000000000001E-4,113388.8081812419
9.100000000000001E-4,114601.7197749221
9.2E-4,115812.31178363384
9.3E-4,117020.59361445875
9.400000000000001E-4,118226.57488064324
9.500000000000001E-4,119430.26538048642
9.600000000000001E-4,120631.67507774738
9.7E-4,121830.81408345787
9.800000000000002E-4,123027.69263903925
9.9E-4,124222.32110063205
0.001,125414.70992454664
0.00101,126604.8696537559
0.00102,127792.81090535953
0.00103,128978.5443589429
0.0010400000000000001,130162.0807457778
0.0010500000000000002,131343.43134780746
0.0010600000000000002,132522.60691060743
0.00107,133699.6179507061
0.00108,134874.47511335014
0.00109,136047.18922363396
0.0011,137217.77117805503
0.00111,138386.23185648472
0.0011200000000000001,139552.58210082134
0.0011300000000000001,140716.83272599106
0.0011400000000000002,141878.9945175426
0.0011500000000000002,143039.07825052371
0.00116,144197.09468173413
0.00117,145353.05453004254
0.00118,146506.96846761258
0.00119,147658.8471226558
0.0012000000000000001,148808.7010818862
0.0012100000000000001,149956.54088717804
0.0012200000000000002,151102.3770300048
0.0012300000000000002,152246.21994805426
0.00124,153388.08002409877
0.00125,154527.96758496447
0.00126,155665.8928995881
0.00127,156801.8661768274
0.00128,157935.8975637909
0.0012900000000000001,159067.9971446812
0.0013000000000000002,160198.17493975506
0.0013100000000000002,161326.44090421224
0.0013200000000000002,162452.80492712607
0.00133,163577.27683055899
0.00134,164699.86636884237
0.00135,165820.5832279518
0.00136,166939.43702493285
0.0013700000000000001,168056.43730740296
0.0013800000000000002,169171.59355313677
0.0013900000000000002,170284.91516974728
0.0014000000000000002,171396.41149442398
0.00141,172506.09179373225
0.00142,173613.96526347438
0.00143,174720.0410285971
0.00144,175824.3281431636
0.0014500000000000001,176926.83559036732
0.0014600000000000001,178027.5722825883
0.0014700000000000002,179126.547061496
0.0014800000000000002,180223.76869818356
0.0014900000000000002,181319.24589334472
0.0015,182412.9872774771
0.00151,183505.00141112294
0.00152,184595.2967851318
0.0015300000000000001,185683.88182095325
0.0015400000000000001,186770.7648709522
0.0015500000000000002,187855.95421874707
0.0015600000000000002,188939.45807956796
0.0015700000000000002,190021.2846006338
0.00158,191101.44186154602
0.00159,192179.93787470067
0.0016,193256.78058571264
0.00161,194331.9778738507
0.0016200000000000001,195405.53755249095
0.0016300000000000002,196477.46736957686
0.0016400000000000002,197547.7750080872
0.0016500000000000002,198616.46808651867
0.0016600000000000002,199683.5541593707
0.00167,200749.0407176396
0.00168,201812.93518932033
0.00169,202875.24493991162
0.0017000000000000001,203935.97727292523
0.0017100000000000001,204995.13943040214
0.0017200000000000002,206052.73859342915
0.0017300000000000002,207108.7818826604
0.0017400000000000002,208163.27635884043
0.00175,209216.22902332753
0.00176,210267.6468186218
0.00177,211317.53662889017
0.0017800000000000001,212365.90528049553
0.0017900000000000001,213412.75954252327
0.0018000000000000002,214458.10612730728
0.0018100000000000002,215501.95169095864
0.0018200000000000002,216544.30283388932
0.0018300000000000002,217585.1661013365
0.00184,218624.54798388632
0.00185,219662.454917994
0.00186,220698.89328650158
0.0018700000000000001,221733.8694191568
0.0018800000000000002,222767.389593126
0.0018900000000000002,223799.46003350406
0.0019000000000000002,224830.08691382757
0.0019100000000000002,225859.27635657522
0.0019200000000000003,226887.0344336753
0.00193,227913.36716700086
0.00194,228938.2805288693
0.0019500000000000001,229961.78044253396
0.0019600000000000004,230983.87278267083
0.00197,232004.5633758683
0.00198,233023.85800110482
0.00199,234041.76239022953
0.002,235058.28222843408
0.00201,236073.4231547238
0.00202,237087.19076238456
0.00203,238099.5905994432
0.00204,239110.62816912544
0.00205,240120.3089303104
0.00206,241128.6382979801
0.0020700000000000002,242135.6216436654
0.0020800000000000003,243141.2642958843
0.0020900000000000003,244145.5715405837
0.0021000000000000003,245148.5486215686
0.0021100000000000003,246150.20074093092
0.0021200000000000004,247150.53305947542
0.0021300000000000004,248149.5506971394
0.00214,249147.25873340596
0.00215,250143.66220771935
0.00216,251138.76611989067
0.00217,252132.57543049898
0.00218,253125.09506129308
0.00219,254116.3298955863
0.0022,255106.28477864384
0.00221,256094.96451807237
0.00222,257082.3738842021
0.00223,258068.51761046116
0.0022400000000000002,259053.400393754
0.0022500000000000003,260037.0268948304
0.0022600000000000003,261019.40173864827
0.0022700000000000003,262000.5295147409
0.0022800000000000003,262980.41477756924
0.0022900000000000004,263959.06204687874
0.0023000000000000004,264936.47580805066
0.00231,265912.66051244445
0.00232,266887.62057774287
0.00233,267861.36038829037
0.00234,268833.8842954245
0.00235,269805.19661781075
0.00236,270775.3016417671
0.00237,271744.2036215886
0.00238,272711.9067798641
0.00239,273688.9219318647
0.0024000000000000002,274708.7134283833
0.0024100000000000002,275726.70865907945
0.0024200000000000003,276742.90821127745
0.0024300000000000003,277757.32820043486
0.0024400000000000003,278769.9836419756
0.0024500000000000004,279780.8847570512
0.0024600000000000004,280790.0397300016
0.0024700000000000004,281797.45719184267
0.00248,282803.1467233066
0.00249,283807.1179727825
0.0025,284809.38044360734
0.00251,285809.9434849098
0.00252,286808.81632575585
0.00253,287806.0080993928
0.00254,288801.52788517205
0.00255,289795.3846437244
0.00256,290787.5872368466
0.0025700000000000002,291778.1444508289
0.0025800000000000003,292767.0650007306
0.0025900000000000003,293754.35752501024
0.0026000000000000003,294740.03058162355
